,TSHZ3-chr19-31768568,TP53-chr17-7577548,TOX-chr8-59851979,STRN-chr2-37105068,SPEN-chr1-16258997,SPEN-chr1-16202934,PTPRD-chr9-10074741,PRKCB-chr16-24230186,PIK3CG-chr7-106508397,NRAS-chr1-115258747,NR4A3-chr9-102595561,NR3C2-chr4-149357051,MYH11-chr16-15917267,MN1-chr22-28193785,LRP1B-chr2-141609298,LINGO2-chr9-29178757,LINGO2-chr9-29123273,LINGO2-chr9-29117698,LINGO2-chr9-28778389,LINGO2-chr9-28064983,LAMB4-chr7-107732769,IL7R-chr5-35876645,IL21R-chr16-27448836,HELZ-chr17-65119071,FUS-chr16-31193877,FHIT-chr3-60412480,F8-chrX-154157378,EPHB6-chr7-142566125,CIITA-chr16-11002009,CHN1-chr2-175779934,CDK4-chr12-58144548,ATR-chr3-142269072,ATP7B-chr13-52534322,APC-chr5-112175328,APC-chr5-112164646,ALK-chr2-29416591
PDD-76,37,1,118,26,1754,112,24,103,113,849,83,664,30,176,15,81,255,228,119,33,3,264,23,499,9,609,15,320,34,93,102,29,51,20,84,352
PDD-77,15,7,385,5,128,84,23,681,119,59,109,29,173,10,284,11,17,33,5,34,59,424,22,100,103,120,783,11,43,13,753,241,83,184,114,85
PDD-78,20,246,24,34,866,679,397,20,167,1279,68,23,26,35,36,67,39,5,118,205,131,118,12,369,16,249,3,199,231,44,550,572,438,234,316,205
PDD-79,86,31,22,2088,1078,6,84,248,34,1737,44,1330,23,7,573,193,256,207,75,6,5,2003,15,62,10,841,45,183,38,684,3121,325,396,210,163,1879
PDD-8,99,40,48,1130,904,91,110,659,34,226,59,18,655,28,534,179,79,28,19,109,42,469,20,107,91,135,21,112,633,376,276,54,34,489,329,2191
PDD-80,269,93,285,168,1446,16,115,109,202,192,1119,1027,9,16,101,53,44,38,54,224,50,169,195,671,53,126,236,361,276,221,172,164,631,462,273,139
PDD-81,25,77,596,470,41,36,33,307,117,255,166,4357,442,47,8,208,45,29,110,174,9,1072,44,7,10,66,179,58,63,249,140,209,196,206,111,214
PDD-82,408,121,101,76,99,93,8,461,129,337,80,374,271,38,724,142,150,111,497,247,59,27,11,71,4,14,1,88,142,56,19,853,33,41,39,1771
PDD-83,22,957,67,342,802,559,35,264,705,682,180,110,96,34,416,13,117,81,5,22,76,317,47,140,4,24,3,373,8,8,198,458,516,69,159,305
PDD-84,219,280,23,538,233,2,97,118,30,344,70,1213,32,200,254,1,164,177,105,299,43,368,21,29,26,84,434,67,597,80,287,55,423,304,147,88
PDD-85,39,24,242,466,33,234,112,189,256,246,18,352,54,2,31,23,42,85,68,49,31,158,0,360,232,5,808,10,118,8,31,34,2382,284,521,424
PDD-86,153,449,1359,814,4,60,11,734,483,3223,4,373,598,41,134,217,20,38,299,28,4,13,148,93,28,163,137,47,105,207,158,395,443,170,95,359
PDD-87,319,1,42,45,334,509,159,195,138,581,85,202,5,18,128,115,7,2,613,460,0,296,7,1032,198,0,6,3,56,79,49,318,256,52,82,349
PDD-88,488,15,558,314,379,457,4,514,41,76,35,16,360,13,15,95,242,81,282,20,21,188,0,376,46,12,298,41,17,85,172,356,345,8,7,275
PDD-89,24,17,118,660,16,52,262,146,0,47,136,281,48,361,91,388,285,254,365,135,0,69,2,29,41,25,90,18,95,101,9,164,246,88,48,896
PDD-9,1102,397,151,251,295,50,448,40,25,615,80,236,105,140,319,8,275,238,58,39,96,357,68,1624,143,94,229,131,317,83,311,657,54,143,169,1223
PDD-90,164,43,188,115,9,60,262,38,2909,375,156,32,211,60,10,76,19,6,755,112,1,624,5,469,47,183,225,40,205,29,146,334,610,501,347,657
PDD-91,23,109,171,517,17,10,387,89,522,89,465,204,292,553,32,12,157,135,100,97,4,768,228,5,8,64,390,36,993,86,55,997,114,963,565,232
PDD-92,49,65,18,270,275,56,1,143,504,67,102,60,237,118,12,212,49,67,348,18,101,793,14,40,110,66,143,206,80,91,229,1104,276,24,46,650
PDD-93,16,55,591,26,29,40,50,51,67,314,160,158,530,53,65,82,70,130,320,3,72,48,6,227,12,234,183,1,45,77,86,1161,675,56,24,188
PDD-94,202,6,381,16,85,427,27,1589,16,414,2,784,73,265,10,570,27,7,11,40,23,26,65,84,20,34,887,76,79,8,46,1841,105,15,35,41
PDD-95,30,113,488,114,108,19,29,857,82,56,70,9,12,77,45,32,145,121,111,40,22,89,62,32,12,88,585,623,0,6,106,6,8,119,58,111
PDD-96,130,6,62,60,127,129,74,9,28,11,1,69,1,12,49,530,229,180,1928,169,9,5,29,113,7,0,7,50,29,83,362,44,124,42,33,760
